officer_id,officer_name,star,rank,unit,as_of
137,"ALMANZA, JOSEPH",,,012,2015-09-01
138,"ALMANZA, THERESA",10289,,,2015-09-01
139,"ALMAZAN  JR, SIDRONI0",5011,PO,393,2015-11-14
140,"ALMODOVAR, JOSHUA",19975,PO,025,2006-05-09
141,"ALOISIO, SALVATORE",12822,PO,024,2008-12-05
142,"ALONSO, JAVIER",18523,PO,312,2015-09-01
143,"ALONZO, EDWARD",2131,SGT,020,2015-09-01
144,"ALONZO, SHAWN",10081,PO,010,2015-09-01
145,"ALTAMIRANO, LAZARO",2722,PO,189,2015-09-01
146,"ALTENBACH, ADAM",13832,PO,005,2015-09-01
147,"ALTENBACH, BLAIR",7297,PO,008,2015-09-01
148,"ALTWASSER, PATRICK",11287,PO,015,2015-09-01
149,"ALVARADO, GERARDO",10448,,,2015-09-01
150,"ALVARADO, JAIME",1722,SGT,004,2015-09-01
151,"ALVARADO, JOSHUA",12730,PO,313,2015-09-01
151,"ALVARADO, JOSHUA",,,215,2008-12-05
152,"ALVARADO, MATTHEW",10456,FTO,022,2015-09-01
153,"ALVARADO, RAYNA",14623,PO,020,2015-09-01
154,"ALVAREZ, ANTONIO",1337,SGT,010,2015-09-01
155,"ALVAREZ, ANTONIO",13797,,,2015-09-01
156,"ALVAREZ, ARMANDO",7861,PO,001,2015-09-01
157,"ALVAREZ, HERNAN",13713,PO,024,2015-09-18
158,"ALVAREZ, JOSE",13055,PO,011,2008-12-05
159,"ALVAREZ, JOSE",17615,PO,010,2015-09-01
160,"ALVAREZ, JUAN",6596,PO,006,2015-09-01
161,"ALVAREZ, LUIS",12490,PO,006,2015-03-11
162,"ALVAREZ, RAMIRO",17715,PO,010,2015-03-11
163,"ALVAREZ, RICHARD",1066,SGT,007,2015-09-01
164,"ALVAREZ, RICHARD",6265,,,2015-09-01
165,"ALVAREZ, ROBERT",19689,PO,018,2015-09-01
166,"ALVEAR, ANN",,PO,014,2015-03-11
167,"ALYINOVICH, JOHN",11457,PO,002,2008-12-05
168,"AMADOR, ANGEL",19941,PO,189,2015-09-01
168,"AMADOR, ANGEL",,,189,2015-09-01
169,"AMARO, TIZOC",14302,PO,010,2015-09-01
170,"AMATO, ANTHONY",20511,DET,393,2015-03-11
170,"AMATO, ANTHONY",,,211,2006-05-09
171,"AMATO, DINO",20340,DET,630,2015-09-01
172,"AMATO, MICHAEL",14196,PO,024,2015-09-01
173,"AMELIC, PETER",11341,,,2015-09-01
174,"AMELIO, PETER",11341,PO,393,2015-09-01
175,"AMOJE, JOSEPH",,PO,002,2015-09-01
176,"AMORELLA, MICHAEL",10544,PO,015,2008-12-05
177,"AMPARAN, ERNESTO",4614,PO,025,2015-09-01
178,"ANAYA, PEDRO",15639,PO,011,2015-09-01
179,"ANDAVERDE, FEDERICO",2530,SGT,189,2015-09-01
180,"ANDAVERDE, FEDERICO",10138,,,2015-09-18
181,"ANDEREGG, DANIEL",11295,PO,124,2015-09-01
182,"ANDERSEN, CHRIS",17507,PO,313,2015-03-11
183,"ANDERSON, CHARLES",11272,,140,2008-12-05
184,"ANDERSON, COREY",6023,PO,001,2015-09-01
185,"ANDERSON, COREY",12962,PO,012,2015-09-01
186,"ANDERSON, DAVID",4720,PO,005,2008-12-05
187,"ANDERSON, DEBRA",3947,PO,393,2006-05-09
188,"ANDERSON, ELLIS",19526,PO,003,2015-03-11
189,"ANDERSON, GARY",6369,PO,189,2015-09-18
190,"ANDERSON, JEROME",3712,PO,384,2015-09-01
191,"ANDERSON, LAKISA",8874,PO,140,2015-09-01
192,"ANDERSON, MAURICE",11348,PO,003,2015-09-18
192,"ANDERSON, MAURICE",,,006,2015-09-01
193,"ANDERSON, MICHAEL",3129,,,2015-09-01
194,"ANDERSON, MIGUEL",6547,PO,006,2015-09-01
195,"ANDERSON, PAUL",8050,PO,241,2015-09-01
196,"ANDERSON, RHONDA",20875,,,2015-09-01
196,"ANDERSON, RHONDA",,,153,2008-12-05
197,"ANDERSON, ROBERT",,,,2015-09-01
198,"ANDERSON, THEODORE",8635,PO,004,2015-09-01
199,"ANDERSON, TRACEY",18786,PO,005,2008-12-05
200,"ANDERSON, VICTOR",11743,PO,701,2006-05-09
201,"ANDERSON, WESLEY",18388,PO,002,2015-11-14
202,"ANDINO, WILLIAM",20727,DET,620,2015-09-01
203,"ANDRADE, JAMES",7697,PO,145,2015-09-01
204,"ANDREWS JR, MARSHALL",12966,PO,006,2015-09-01
205,"ANDREWS, ADAM",7381,PO,050,2015-09-01
206,"ANDREWS, ANTRINIUS",11584,PO,003,2015-09-01
207,"ANDREWS, CHARLES",2805,PO,018,2015-09-01
208,"ANDREWS, DAVID",14291,PO,007,2015-09-01
209,"ANDREWS, JOHN",,LT,008,2015-09-01
210,"ANDREWS, LISA",1225,SGT,341,2015-09-01
211,"ANDRICH, DAVID",4314,PO,011,2015-09-01
212,"ANDRUSHKO, TARAS",16678,PO,009,2015-09-01
213,"ANDRUZZI, JULIE",,PO,213,2015-09-01
214,"ANDRUZZI, MICHAEL",,DET,193,2015-09-01
215,"ANDUJAR, DANIEL",15637,PO,019,2015-09-01
216,"ANGARONE, KENNETH",20,CMDR,192,2015-09-01
217,"ANGELO, DEAN",11107,PO,014,2015-09-01
218,"ANGELOPOULOS, JOHN",18488,PO,025,2015-09-01
219,"ANGUS, WILLIAM",19032,PO,393,2015-09-18
220,"ANNERINO, JOSEPH",,,,2015-09-01
221,"ANNOR, SAMUEL",6224,PO,005,2015-09-01
222,"ANSELMO, JAMIE",13917,PO,016,2015-09-01
223,"ANSLEY, NANNETTE",20583,DET,620,2015-09-01
224,"ANTESBERGER, BRENT",3724,PO,015,2015-11-14
225,"ANTICO, JOSEPH",7572,PO,011,2015-09-01
226,"ANTONIAZZI, ALBERT",13961,,,2015-09-01
227,"ANTONIAZZI, GINO",13961,PO,212,2015-09-01
228,"ANTONSEN, RICHARD",19692,PO,212,2015-09-18
229,"APACIBLE, JONATHAN",8558,,,2015-09-01
230,"APIECZONEK JR, LES",14429,PO,015,2008-12-05
231,"APORONGAO, ALAIN",4870,PO,011,2015-09-18
232,"APPEL, DAVID",9755,PO,191,2015-09-01
233,"ARAGON, DANIEL",11823,PO,018,2008-12-05
234,"ARANDA, ROBERT",,PO,413,2015-09-01
235,"ARCEO, LEW",7455,PO,009,2015-09-01
236,"ARCHER, KENDRA",16237,PO,005,2015-09-01
237,"ARCHER, STEVEN",19735,PO,025,2015-09-01
238,"ARCHULETA, RAYMOND",19887,PO,018,2015-09-01
239,"ARCILLAS, MARK",7319,PO,014,2015-09-01
240,"ARCILLAS, PATRICK",,PO,020,2015-09-01
241,"AREIZAGA, NOEL",8812,PO,014,2015-09-01
242,"AREKAT, DARWISH",8679,PO,002,2015-09-18
243,"ARELLANO, JASON",15598,PO,005,2015-09-01
244,"ARELLANO, MIGUEL",17016,PO,008,2015-09-01
245,"ARGENBRIGHT, THOMAS",222,CMDR,050,2015-09-01
246,"ARGUELLO, FANNIE",6987,PO,008,2015-09-01
247,"ARGYROPOULOS, JAMES",8146,PO,004,2015-09-18
248,"ARGYROPOULOS, NICK",11537,PO,606,2015-09-01
249,"ARIF-ABRAHAM, FATIMA",4942,PO,002,2015-09-01
250,"ARIZA, ROY",14530,PO,018,2015-09-01
251,"ARMSTEAD, FELICIA",4673,PO,001,2015-09-01
252,"ARMSTRONG, DERRICK",20083,DET,620,2015-09-01
253,"ARMSTRONG, PHILLIP",5058,PO,012,2015-09-01
254,"ARNOLTS, ROBERT",19998,PO,050,2015-09-01
255,"ARRIAZOLA, ARMANDO",,PO,012,2015-09-01
256,"ARRIAZOLA, RENE",13168,PO,016,2015-09-01
257,"ARRINGTON, REGINALD",14286,,,2015-09-18
258,"ARROYO, DANNY",14057,PO,007,2015-09-01
259,"ARROYO, ESTEBAN",19401,PO,411,2015-09-01
260,"ARROYO, JASON",14502,PO,024,2015-09-01
261,"ARROYO, MANUEL",5780,PO,009,2008-12-05
262,"ARROYO, OSCAR",10910,PO,020,2015-09-18
263,"ARROYO, RICHARD",14936,,,2015-09-18
264,"ARTEAGA, OSCAR",20345,,,2015-09-01
265,"ARTIGA, GEORGE",2527,SGT,411,2015-09-01
266,"ARTIGA, GEORGE",10950,,,2015-09-01
267,"ARTIS, ANTONIO",9415,,,2008-12-05
268,"ARTZ, CHARLES",1907,SGT,007,2008-12-05
269,"ARZOLA, JERRY",13815,PO,011,2015-03-11
270,"ASCENCIO, RAMON",5800,PO,012,2008-12-05
271,"ASHFIELD, MICHAEL",9008,PO,015,2008-12-05
272,"ASHFORD, DERRICK",19336,PO,002,2015-09-01
273,"ASKAR, JAMIL",11591,PO,017,2015-09-18
274,"ASKAR, WAHBE",8156,PO,213,2015-09-01
275,"ASKEW, BRUCE",9015,PO,005,2015-09-01
275,"ASKEW, BRUCE",,,007,2015-09-18
276,"ASKINS, TYRONE",15082,PO,051,2015-09-01
277,"ASSAF, MAJED",1778,SGT,121,2015-09-01
278,"AUBERT, CHANA",5668,PO,606,2015-09-01
279,"AUBERT, LANELL",17543,PO,006,2015-09-01
279,"AUBERT, LANELL",,,003,2015-09-18
280,"AUGLE, LEO",12848,PO,009,2015-09-18
281,"AUGUST, KERRY",7647,,,2015-09-18
282,"AUGUSTYNIAK, DAVID",10059,PO,010,2015-09-01
283,"AUSTIN, LATRICE",10829,PO,004,2015-09-01
284,"AUSTIN, MYRON",,PO,010,2015-09-01
285,"AUSTIN, STEPHEN",18460,PO,002,2008-12-05
286,"AVALOS, ELIAS",13759,PO,010,2015-09-01
287,"AVELAR, JUAN",9377,PO,005,2015-09-18
288,"AVILA, JAIME",3886,PO,011,2015-09-01
289,"AVILA, JESUS",,FTO,376,2015-09-01
290,"AVILA, JOSEPH",17883,,008,2015-09-18
291,"AVILA, JOSEPH",,PO,376,2015-09-01
292,"AVILA, MARIO",13112,PO,004,2015-09-01
293,"AVILA, SALVADOR",213,LT,145,2015-09-01
294,"AWADALLAH, ALLA",17199,PO,008,2008-12-05
295,"AXIUM, JACK",966,SGT,012,2015-03-11
296,"AYALA JR, FAUSTO",,PO,016,2006-05-09
297,"AYALA, MANUEL",10962,PO,004,2015-09-01
298,"AYALA, RONALD",13302,PO,006,2015-09-01
299,"AYLWARD, PATRICK",2148,SGT,313,2015-09-18
300,"AZTLAN, RICHARD",4112,PO,019,2015-09-01
301,"BA, SHANA",10090,PO,002,2015-09-01
302,"BAADER, BRIAN",7582,PO,005,2015-09-18
303,"BABET, WILLIAM",,DET,606,2015-09-18
304,"BABICZ, ANTHONY",12652,PO,211,2015-09-01
305,"BAC, ANDREW",15751,PO,016,2015-09-01
306,"BACHELDER, THOMAS",2096,SGT,002,2015-09-01
307,"BACHLER, DAVID",9744,PO,022,2015-09-01
307,"BACHLER, DAVID",,,022,2015-09-01
308,"BACIUS, RUSSELL",19980,PO,050,2015-09-01
309,"BACOULIS, DANIEL",3105,PO,011,2015-09-01
310,"BACOYANIS, STEVEN",6132,PO,019,2015-09-01
311,"BADIE, RODNEY",11286,PO,018,2015-09-01
312,"BADILLO, ENRIQUE",19255,PO,014,2015-09-01
313,"BAEZ, RONALD",5214,,004,2015-09-01
314,"BAEZA JR, RAUL",4918,PO,019,2015-09-01
315,"BAGLIERI, CARMELO",2178,SGT,008,2015-09-01
315,"BAGLIERI, CARMELO",,,008,2015-09-01
316,"BAGNALL, GREGORY",8533,PO,001,2015-09-01
317,"BAHENA, NADINE",11147,PO,009,2008-12-05
318,"BAHR, KEVIN",,,059,2006-05-09
319,"BAIER, JAMES",879,SGT,121,2015-09-01
320,"BAIER, JAMES",12326,,253,2015-09-01
321,"BAILEY JR, JAMES",13137,,124,2015-09-01
322,"BAILEY SR, CEDRIC",21424,DET,620,2015-09-01
323,"BAILEY, CEDRIC",17907,PO,002,2015-09-01
324,"BAILEY, LESTER",4268,PO,009,2015-09-01
325,"BAILEY, MELVIN",16788,PO,002,2015-03-11
325,"BAILEY, MELVIN",,,003,2008-12-05
326,"BAILEY, STACI",6683,PO,189,2006-05-09
327,"BAIO, ANTONIO",495,LT,011,2008-12-05
328,"BAJOREK, GRZEGORZ",14666,PO,017,2006-05-09
329,"BAKER, CEDTRICE",8176,PO,017,2015-09-01
330,"BAKER, GEOFFREY",6437,PO,014,2015-09-01
331,"BAKER, LYNN",,PO,044,2015-09-01
332,"BAKER, MICHAEL",13052,,,2015-09-01
333,"BAKER, MOHAMMAD",19740,PO,004,2015-09-01
334,"BAKER, THOMAS",14366,PO,018,2015-09-01
335,"BAKOPOULOS, JOHN",12689,PO,015,2015-09-01
336,"BALA, JASON",9112,PO,313,2015-09-01
337,"BALASZ, TIMOTHY",15785,PO,005,2015-09-01
338,"BALASZ, TIMOTHY",15795,,,2015-09-01
339,"BALASZEK, LES",15734,PO,701,2015-09-01
340,"BALATA, TOMASZ",4125,PO,015,2008-12-05
341,"BALDASSANO, VINCENT",12697,PO,193,2015-09-01
342,"BALESH, ROBERT",8111,PO,019,2015-09-01
343,"BALESTERI, DAMEN",7510,PO,312,2015-09-18
344,"BALESTRI, FRANK",3062,PO,051,2015-09-01
345,"BALLARD, PERRY",12444,PO,006,2015-03-11
346,"BALLAUER, JAMES",1874,SGT,312,2008-12-05
347,"BALLING, JEREMY",15992,PO,003,2015-09-01
348,"BALTAZAR, ROBERTO",10905,,,2015-09-01
349,"BANAS, RONALD",21007,DET,606,2015-09-01
350,"BANASZKIEWICZ, PHILIP",1695,SGT,016,2015-09-01
351,"BANDA, JAVIER",4644,PO,010,2015-09-01
351,"BANDA, JAVIER",,,019,2015-09-01
352,"BANDA, JIMMY",5941,PO,007,2015-09-01
353,"BANDYK, MARK",,PO,145,2015-09-01
354,"BANE, CHRIS",12968,PO,012,2015-09-18
355,"BANISTER, EARL",4760,PO,002,2008-12-05
356,"BANKS, BOBBY",15772,PO,003,2015-09-01
357,"BANKS, CHRISTOPH",17375,PO,004,2015-09-01
358,"BANKS, DONALD",7276,PO,011,2015-09-18
359,"BANKS, ROGER",,,,2015-09-01
360,"BANKUS, RICHARD",6769,PO,019,2015-09-18
361,"BANSLEY, ANTHONY",19260,PO,059,2015-09-01
361,"BANSLEY, ANTHONY",,,008,2015-09-01
362,"BANSLEY, JAMES",8791,PO,004,2015-09-01
362,"BANSLEY, JAMES",10927,PO,005,2015-09-01
363,"BANUELOS, MIGUEL",10237,PO,008,2015-09-01
364,"BANUELOS, ULYSSES",2255,SGT,341,2015-09-01
365,"BAQAI, FARAH",6851,,,2015-11-14
366,"BAQAI, FARAH",8536,PO,009,2015-09-01
367,"BAR, PAUL",19383,,,2015-09-01
368,"BAR, PAUL",20396,DET,610,2015-09-01
369,"BARA, JOSEPH",,LT,021,2015-09-01
370,"BARAJAS, CHRISTOPH",7367,PO,008,2015-09-01
371,"BARAK, JOHN",2780,PO,011,2015-09-01
372,"BARAN, ANNETTE",16640,PO,016,2015-09-01
373,"BARANGO, CHARLES",15937,PO,005,2008-12-05
374,"BARANOWSKA-BUDA, ANNA",4724,PO,025,2015-03-11
375,"BARANOWSKI, JOHN",2188,SGT,024,2008-12-05
375,"BARANOWSKI, JOHN",,,024,2015-03-11
376,"BARBEE, KEVIN",12695,PO,009,2015-09-01
377,"BARBER, JEFFERY",18579,PO,211,2015-09-01
378,"BARBER, RICHARD",17969,PO,008,2015-09-18
379,"BARBER, SHARON",12220,PO,022,2015-09-01
380,"BARBER, VICTORIA",18433,PO,001,2015-09-01
381,"BARCLAY, IAN",21058,DET,079,2015-09-01
381,"BARCLAY, IAN",,,620,2015-09-01
382,"BARD, CHRIS",6772,PO,009,2015-09-01
382,"BARD, CHRIS",,,009,2015-09-18
383,"BARKER, PATRICK",1390,SGT,020,2015-09-01
384,"BARKER, THOMAS",1020,SGT,003,2015-09-01
385,"BARKSDALE JR, THOMAS",18267,PO,704,2015-09-01
386,"BARNER, VINCENT",19562,PO,022,2015-09-01
386,"BARNER, VINCENT",,,007,2015-09-01
387,"BARNES JR, JOE",2247,SGT,712,2015-09-01
388,"BARNES, AMY",6932,,,2015-09-01
389,"BARNES, DANIELLE",7557,PO,002,2015-09-01
390,"BARNES, DAVID",5631,PO,009,2015-09-18
391,"BARNES, DENNIS",2402,,,2015-09-18
392,"BARNES, DENNIS",,SGT,002,2015-09-01
393,"BARNES, GREGORY",18855,PO,019,2015-09-01
394,"BARNES, JASON",8485,PO,010,2015-09-01
395,"BARNES, JEREMY",,PO,006,2015-09-01
396,"BARNES, SHARON",12311,PO,006,2008-12-05
397,"BARNES, THOMAS",8426,PO,022,2015-09-01
397,"BARNES, THOMAS",,,006,2015-09-01
398,"BARNETT, DANIEL",13839,PO,018,2008-12-05
399,"BARNETT, THOMAS",2102,SGT,011,2015-03-11
400,"BARNEY, DEAN",818,SGT,024,2015-09-01
401,"BARNEY, JASON",11095,PO,019,2015-09-01
401,"BARNEY, JASON",,,253,2015-09-01
402,"BARONA, CARLOS",16054,PO,007,2015-09-01
403,"BARR, KREIGHTON",13742,PO,311,2015-09-01
404,"BARRERA, CARLOS",9999,PO,019,2015-09-01
405,"BARRERA, GABRIEL",14679,FTO,004,2015-09-18
406,"BARRERA, PEDRO",16188,PO,011,2015-09-01
407,"BARRETT JR, DONALD",13777,PO,051,2015-09-01
408,"BARRETT, DANIEL",,,,2015-09-01
409,"BARRETT, DAVID",,PO,166,2015-09-01
410,"BARRIENTOS, SAUL",20921,DET,610,2015-09-01
411,"BARRIOS, ARGELIA",5795,PO,011,2015-09-01
412,"BARRIOS, JOSE",7700,PO,008,2015-09-01
413,"BARRON JR, RICHARD",21118,DET,610,2015-09-01
414,"BARRON, JACK",806,SGT,015,2015-09-18
415,"BARRY, COMONIECK",15525,PO,005,2015-09-18
416,"BARRY, KEVIN",1816,SGT,620,2015-09-01
417,"BARRY, KEVIN",20671,,,2015-09-01
418,"BARRY, NORA",3696,PO,018,2015-09-18
419,"BARSANO, ANTHONY",15728,PO,020,2015-09-01
420,"BARSCH, HENRY",20923,DET,620,2015-09-01
421,"BARSCH, STEVE",18287,PO,009,2015-09-01
422,"BARTEL, JEFF",14367,PO,213,2015-09-01
423,"BARTKOW, RAFAL",18397,PO,020,2015-09-18
424,"BARTLETT, ROBERT",10827,PO,353,2015-03-11
425,"BARTON, CHRISTA",13036,PO,312,2008-12-05
426,"BARTZ, MICHAEL",2364,SGT,018,2015-09-01
427,"BARZ, MICHAEL",2625,SGT,121,2015-09-01
428,"BASILE, MICHAEL",8774,PO,312,2015-09-01
429,"BASTIEN, THOMAS",17455,PO,005,2015-09-01
430,"BASURTO, SAUL",,PO,025,2015-09-18
431,"BATAOEL, JOSEPH",19040,PO,020,2015-09-01
432,"BATES, PETER",3296,PO,018,2015-09-01
433,"BATES, PHILLIP",2815,PO,004,2015-09-01
434,"BATES, TYRONE",,SGT,019,2015-09-01
435,"BATISTA, FELIX",14865,PO,606,2015-09-18
436,"BATTAGLIA, CATHERINE",,PO,050,2015-09-01
437,"BATTAGLIA, JOSEPH",13486,,,2015-09-01
438,"BATTALINI, KRISTI",16027,,193,2015-09-01
439,"BATTALINI, KRISTI",20331,DET,610,2015-09-01
440,"BATZER, ZOE",5033,PO,024,2015-09-01
441,"BAUER, JOHN",7006,PO,016,2015-09-01
442,"BAUER, PAUL",761,LT,055,2015-09-01
443,"BAUGHNS, RONALD",10961,PO,019,2015-09-01
444,"BAUMAN, CHAD",15110,PO,008,2015-09-01
