officer_id,crid,gender,race,race_edit,star,birth_year
6263,1062310,M,WHITE,White,1349,
9636,1062325,F,BLACK,Black,13224,
4553,1062331,M,WHITE,White,20327,
8211,1062332,M,WHITE,White,15145,
5056,1062355,M,WHITE,White,1077,
147,1062385,F,BLACK,Black,7297,
1775,1062385,F,BLACK,Black,10194,
425,1062441,F,WHITE,White,13036,
9517,1062448,M,WHITE,White,6518,
9601,1062451,M,WHITE,White,1945,
9372,1062461,M,WHITE,White,,
3339,1062494,M,SPANISH (DO NOT USE),Hispanic,9645,
7402,1062494,M,WHITE,White,1460,
3396,1062505,F,WHITE,White,1652,
8920,1062505,M,WHITE,White,5426,
2745,1062519,M,WHITE,White,14437,
1221,1062583,M,WHITE HISPANIC,White/Hispanic,3769,
2245,1062617,M,SPANISH (DO NOT USE),Hispanic,8529,
9109,1062629,M,BLACK,Black,6193,
4278,1062662,M,WHITE,White,1656,
4701,1062688,M,WHITE,White,4390,
7108,1062689,M,WHITE,White,8884,
4174,1062751,M,WHITE,White,7043,
5376,1062751,M,WHITE,White,16975,
8202,1062751,M,WHITE,White,277,
0,1062799,M,BLACK,Black,,
9696,1062820,M,WHITE,White,19391,
8981,1062832,M,ASIAN/PACIFIC ISLANDER,Asian,18990,
4914,1062838,M,WHITE,White,18810,
4309,1062847,M,ASIAN/PACIFIC ISLANDER,Asian,16486,
2883,1062865,F,SPANISH (DO NOT USE),Hispanic,9651,
7886,1062865,F,BLACK,Black,13699,
9119,1062883,F,WHITE,White,1297,
9656,1062896,M,WHITE,White,14033,
532,1062929,M,SPANISH (DO NOT USE),Hispanic,12417,
2126,1062929,M,WHITE,White,19236,
7799,1062929,F,WHITE,White,4251,
9599,1062929,M,WHITE,White,15263,
829,1062951,M,WHITE,White,15572,
9325,1062951,M,WHITE,White,8521,
9587,1062951,M,BLACK,Black,18466,
9693,1062951,M,WHITE,White,14989,
7228,1062956,M,WHITE,White,1331,
796,1062978,F,WHITE,White,16398,
1197,1062978,M,WHITE,White,19897,
7484,1062978,M,WHITE,White,9390,
9343,1062978,M,WHITE,White,5444,
559,1063003,M,WHITE,White,11871,
7008,1063003,M,WHITE,White,6626,
9424,1063003,F,WHITE,White,11223,
3207,1063004,M,BLACK,Black,4110,
3453,1063004,M,WHITE,White,4317,
9530,1063016,F,SPANISH (DO NOT USE),Hispanic,9847,
6437,1063037,F,BLACK,Black,12475,
5525,1063059,M,WHITE,White,10886,
7336,1063096,M,WHITE,White,7520,
5708,1063111,M,WHITE,White,16143,
8549,1063111,M,WHITE,White,12745,
8783,1063111,M,WHITE,White,9397,
9459,1063111,M,WHITE,White,9416,
8662,1063157,M,BLACK,Black,19233,
7420,1063178,M,BLACK,Black,7068,
9035,1063195,M,WHITE,White,,
5231,1063319,M,SPANISH (DO NOT USE),Hispanic,3777,
4384,1063333,M,WHITE,White,12419,
1331,1063349,M,WHITE,White,16070,
5506,1063349,M,WHITE,White,15562,
7483,1063349,M,WHITE,White,6635,
7265,1063352,M,WHITE,White,1969,
581,1063371,M,WHITE,White,9486,
9598,1063371,M,WHITE,White,,
646,1063397,M,WHITE,White,10494,
9478,1063397,M,SPANISH (DO NOT USE),Hispanic,14322,
232,1063400,M,WHITE,White,9755,
2979,1063407,M,AMER IND/ALASKAN NATIVE,Native American,1731,
3999,1063407,M,WHITE,White,1811,
9594,1063424,F,BLACK,Black,,
9620,1063456,F,BLACK,Black,10653,
9443,1063482,F,WHITE,White,,
1023,1063486,M,WHITE,White,15700,
2745,1063486,M,WHITE,White,14437,
8965,1063488,F,WHITE,White,17547,
8965,1063489,F,WHITE,White,17547,
9211,1063519,M,BLACK,Black,2242,
1007,1063527,M,BLACK,Black,16952,
3835,1063527,M,BLACK,Black,4933,
5980,1063527,F,BLACK,Black,8554,
637,1063532,M,WHITE,White,1622,
9120,1063532,M,WHITE,White,1805,
9392,1063532,M,BLACK,Black,19217,
8965,1063535,F,WHITE,White,17547,
9529,1063553,M,WHITE,White,17067,
3588,1063564,M,WHITE,White,1867,
1680,1063569,M,WHITE,White,9258,
2194,1063583,F,BLACK,Black,515,
9126,1063593,M,WHITE,White,383,
5599,1063610,M,WHITE,White,1192,
5708,1063610,M,WHITE,White,16143,
8549,1063610,M,WHITE,White,12745,
3546,1063626,F,BLACK,Black,6600,
6720,1063648,F,BLACK,Black,19251,
9222,1063648,F,WHITE,White,,
3006,1063668,F,BLACK,Black,6273,
490,1063700,M,BLACK,Black,19019,
7635,1063700,M,WHITE,White,1320,
174,1063735,M,WHITE,White,11341,
1669,1063735,M,WHITE,White,20948,
2916,1063735,M,SPANISH (DO NOT USE),Hispanic,10516,
3042,1063735,M,WHITE,White,11686,
3201,1063735,M,WHITE,White,6130,
6420,1063735,M,WHITE,White,16850,
7459,1063735,M,WHITE,White,9210,
5202,1063803,M,WHITE,White,10608,
2409,1063821,M,WHITE,White,13597,
5208,1063821,M,WHITE,White,5089,
5818,1063825,M,WHITE,White,178,
6789,1063859,M,WHITE,White,6889,
9199,1063866,M,WHITE,White,1691,
6749,1063870,M,SPANISH (DO NOT USE),Hispanic,13414,
1976,1063874,M,WHITE,White,5741,
3330,1063874,M,WHITE,White,7401,
3339,1063874,M,SPANISH (DO NOT USE),Hispanic,9645,
5408,1063874,F,SPANISH (DO NOT USE),Hispanic,4280,
6930,1063874,M,SPANISH (DO NOT USE),Hispanic,13879,
7407,1063874,M,BLACK,Black,1194,
7871,1063874,F,SPANISH (DO NOT USE),Hispanic,6137,
8283,1063874,M,SPANISH (DO NOT USE),Hispanic,19117,
8502,1063874,M,BLACK,Black,13828,
9579,1063878,M,WHITE,White,11368,
5253,1063892,M,SPANISH (DO NOT USE),Hispanic,7104,
9574,1063892,F,WHITE,White,2853,
785,1063933,M,WHITE,White,1909,
2276,1063933,M,BLACK,Black,3676,
560,1063935,M,WHITE,White,7894,
1269,1063935,M,WHITE,White,17746,
9417,1063935,M,WHITE,White,407,
8660,1063950,M,BLACK,Black,18542,
2010,1063962,M,WHITE,White,14047,
4785,1063969,M,WHITE,White,17571,
5635,1063969,M,SPANISH (DO NOT USE),Hispanic,6059,
6377,1063969,M,WHITE,White,4190,
6962,1063969,M,WHITE,White,11430,
7918,1063969,M,WHITE,White,10523,
2446,1063973,F,SPANISH (DO NOT USE),Hispanic,233,
9264,1063973,M,WHITE,White,,
9541,1063973,M,WHITE,White,98.00,
1674,1063996,F,WHITE,White,1817,
3688,1064039,M,WHITE,White,13161,
9028,1064042,M,BLACK,Black,9680,
3550,1064089,M,WHITE,White,6623,
8467,1064089,M,ASIAN/PACIFIC ISLANDER,Asian,15840,
8450,1064101,M,BLACK,Black,343,
9120,1064140,M,WHITE,White,1805,
6332,1064148,M,WHITE,White,10337,
4792,1064150,F,WHITE,White,5842,
9225,1064180,F,WHITE,White,2113,
802,1064218,M,BLACK,Black,17007,
1118,1064218,M,BLACK,Black,12472,
1966,1064218,M,BLACK,Black,15410,
5263,1064218,F,WHITE,White,9591,
8455,1064218,M,BLACK,Black,17733,
8957,1064233,F,WHITE,White,8291,
9005,1064233,F,BLACK,Black,7974,
1263,1064268,F,WHITE,White,10477,
3023,1064268,M,WHITE,White,16842,
4434,1064268,M,WHITE,White,997,
9096,1064268,M,WHITE,White,11325,
4367,1064297,M,WHITE,White,6341,
5718,1064323,M,SPANISH (DO NOT USE),Hispanic,18415,
823,1064324,M,BLACK,Black,8220,
996,1064324,M,BLACK,Black,10724,
1627,1064340,F,BLACK,Black,14340,
9607,1064369,F,WHITE,White,12437,
1051,1064389,M,SPANISH (DO NOT USE),Hispanic,21017,
7072,1064389,M,SPANISH (DO NOT USE),Hispanic,11869,
9188,1064419,F,BLACK,Black,,
9315,1064453,F,WHITE,White,,
9344,1064453,M,WHITE,White,370,
7765,1064492,M,WHITE,White,1039,
9198,1064492,M,BLACK,Black,9558,
9634,1064492,F,WHITE,White,17281,
729,1064495,M,BLACK,Black,14371,
9551,1064495,M,WHITE HISPANIC,White/Hispanic,18813,
1137,1064534,M,WHITE,White,8687,
7845,1064534,F,WHITE,White,14749,
9357,1064552,F,SPANISH (DO NOT USE),Hispanic,14118,
862,1064568,M,WHITE,White,20026,
1178,1064568,M,SPANISH (DO NOT USE),Hispanic,21273,
2523,1064568,F,SPANISH (DO NOT USE),Hispanic,20845,
2812,1064568,F,BLACK,Black,20686,
4250,1064568,M,WHITE,White,21066,
8515,1064568,M,BLACK,Black,20076,
8723,1064568,M,WHITE,White,1625,
9106,1064568,M,SPANISH (DO NOT USE),Hispanic,20877,
9134,1064568,M,BLACK,Black,20594,
9154,1064568,M,WHITE,White,21158,
9174,1064568,M,WHITE,White,20203,
9349,1064568,M,WHITE,White,20000,
9649,1064568,F,WHITE,White,20035,
387,1064662,M,BLACK,Black,2247,
9653,1064662,M,BLACK,Black,1700,
1806,1064727,M,SPANISH (DO NOT USE),Hispanic,15612,
3872,1064727,M,BLACK,Black,9709,
4167,1064727,M,WHITE,White,17476,
8004,1064734,M,SPANISH (DO NOT USE),Hispanic,15523,
1763,1064754,M,BLACK,Black,4082,
2883,1064754,F,SPANISH (DO NOT USE),Hispanic,9651,
4963,1064754,M,BLACK,Black,13172,
7886,1064754,F,BLACK,Black,13699,
145,1064854,M,SPANISH (DO NOT USE),Hispanic,2722,
1419,1064854,M,BLACK,Black,5922,
3530,1064854,M,BLACK,Black,10092,
6324,1064854,M,WHITE,White,18528,
